id,name,address,status,zip,phone,fax,lat,lon,stars,seoname
12795,The Herbert Samuel Hod Dead Sea,EIN BOKEK 86930 DEAD SEA ISRAEL,1,,+972 8 6688222,-6583642,31.20229912,35.36429977,4,hod-hamidbar-hotel-12795
12796,David Dead Sea Resort & Spa,EIN BOKEK,1,,+972 8 6591234,-6590271,31.20269966,35.36090088,5,david-dead-sea-resort-spa-12796
12797,Kalia Guest House,"KIBBUTZ KALIA, D.J  KIKAR HAYARDEN",1,90666,+972 2 9942833,-9941740,31.75029945,35.4681015,3,kalia-guest-house-12797
12798,Lot,EIN BOKEK,1,,+972 8 6689200,-6583659,31.19960022,35.3647995,4,lot-12798
12800,Royal Tower,EIN BOKEK,1,86930,+972 8 6688555,-6687536,31.19689941,35.36050034,5,royal-tower-12800
12801,Herods Hotel Dead Sea,"NEVE ZOHAR 223, DEAD SEA",1,,+972 8 6591591,-6583274,31.17169952,35.36819839,5,herods-hotel-dead-sea-12801
12802,Milos Hotel Dead Sea (ex. Orchid Dead Sea),Ein Bokek,1,86930,+972 8-668-8100,-6687136,31.20149994,35.36510086,5,orchid-dead-sea-12802
12804,Dan Eilat,NORTH BEACH,1,88101,+972 8 6362222,-6361369,29.54929924,34.96509933,5,dan-eilat-12804
12805,Dan Panorama Eilat,"NORTH BEACH POB1208, EILAT",1,88000,-6389035,-6389009,29.55290031,34.95859909,4,dan-panorama-eilat-12805
12806,Leonardo Privilege Eilat,PO BOX 294,1,,+972 8 6363636,-6362676,29.55470085,34.9612999,4,leonardo-privilege-eilat-12806
12807,Queen of Sheba hotel,8 ANTIB ROAD,1,88121,+972 8 6306666,-6305713,29.55050087,34.96170044,5,queen-of-sheba-hotel-12807
12808,Holiday Inn EILAT-PATIO,SHITFON STREET 3,1,88105,+972 8 6364364,-6339857,29.55699921,34.95560074,4,holiday-inn-patio-12808
12809,Isrotel King Solomon,"NORTH SHORE, PO BOX 1668 (ex. KING SOLOMON PALACE)",1,88000,+972 8 6363444,-6333225,29.55249977,34.96220016,5,isrotel-king-solomon-12809
12810,Isrotel Lagoona,NORTH BEACH,1,88000,+972 8 6366666,-6365735,29.55130005,34.9618988,4,isrotel-lagoona-12810
12812,U Magic Palace Eilat,1871 NORTH SHORE,1,,+972 8 6369999,-6369034,29.55439949,34.9598999,4,u-magic-palace-eilat-12812
12815,Nova Like,"6 HATIVAT HANEGEV STREET , Eilat",1,,+972 8 6382444,-6381491,29.55870056,34.95470047,4,nova-like-12815
12816,Orchid Hotel Eilat,PO BOX 994,1,,+972 8 6360360,-6374359,29.50550079,34.91799927,5,orchid-hotel-eilat-12816
12817,Leonardo Royal Resort Eilat,"Kamen St 3 228, EILAT",1,,+972 8 6366000,-6336315,29.55540085,34.96060181,4,leonardo-royal-resort-eilat-12817
12818,Isrotel Princess,TABA BEACH 2323,1,,+972 8 6365555,-6372626,29.55470085,34.95389938,5,isrotel-princess-12818
12819,Red Mountains,HATIVAT HANEGEV 137,1,,+972 8 6363222,-6362236,29.55789948,34.95199966,3,red-mountains-12819
12820,Isrotel Royal Beach,NORTH BEACH,1,88000,+972 8 6368888,-6367847,29.53739929,34.93190002,5,isrotel-royal-beach-12820
12821,Palms Hotel Eilat [ex. C Hotel],2 HATMARIM STREET,1,,+972 8 6366777,-6375901,29.55540085,34.95460129,3,c-hotel-12821
12822,Leonardo Plaza,"TARSHISH 8, EILAT",1,,+972 8 6361111,-6333194,29.5503006,34.95840073,5,leonardo-plaza-12822
12823,Isrotel Sport Club Eilat,NORTH BEACH P.O. BOX 82,1,,+972 8 6303333,-6331802,29.5496006,34.96530151,4,isrotel-sport-club-eilat-12823
12824,Brown Eilat [ex. Vista],"17 Kamen Street, Eilat",1,88000,+972 8 6303030,-6302076,29.55419922,34.96419907,4,vista-12824
12825,Dan Carmel,85-87 HANASSI AVE,1,,+972 4 8303030,-8302072,32.81000137,34.9844017,5,dan-carmel-12825
12826,Dan Gardens,124 YEFE NOF STREET HAIFA,1,,+972 4 8302020,-8301053,32.80319977,34.99020004,3,dan-gardens-12826
12827,Mirabelle Plaza Haifa By Dan Hotels [ex. Crowne Plaza],"YEFE NOF STREET 111, HAIFA",1,,+972 4 8350835,-8349868,32.80469894,34.99010086,5,crowne-plaza-12827
12829,Haifa Bay View Hotel  (formerly nof),101 HANASSI AVENUE,1,,+972 4 8354311,-8387842,32.80810165,34.98619843,4,haifa-bay-view-hotel-formerly-nof-12829
12830,Tower,63 HERZEL STREET,1,,+972 4 8677111,-8620895,32.81209946,35.00329971,3,tower-12830
12831,American Colony,1 Louis Vincent Street,1,,+972 2 6279777,-6278809,31.78980064,35.22850037,5,american-colony-12831
12832,Dan Boutique Jerusalem,31 HEBRON ROAD,1,93546,+972 2 5689999,-6733096,31.76650047,35.22570038,4,dan-boutique-jerusalem-12832
12833,Caesar,"208 JAFFA ROAD , Jerusalem",1,,+972 2 5005656,-5381832,31.78800011,35.20669937,4,caesar-12833
12834,VERT Jerusalem [ex. Crowne Plaza],"Ahaliya 1 Givat Ram, Jerusalem",1,91130,+972 2 6588888,-6513585,31.78540039,35.20399857,4,crowne-plaza-12834
12835,Dan Panorama,39 KEREN HAYESOD STREET,1,,+972 2 5695695,-6249150,31.77269936,35.22090149,5,dan-panorama-12835
12837,David Citadel,7 KING DAVID STREET,1,,+972 2 6211111,-6210030,31.7772007,35.22249985,5,david-citadel-12837
12838,Jerusalem Gardens Hotel & SPA,Ze'ev Vilnai St 4,1,,+972 2 6558888,97226511092,31.78479958,35.1977005,3,jerusalem-gardens-hotel-spa-12838
12839,Jerusalem Gold,234 JAFFA ST,1,,+972 250 13333,-5012374,31.78890038,35.2016983,4,jerusalem-gold-12839
12840,Grand Court,15 STREET GOERGE STREET,1,,+972 2 5917777,-5916808,31.78919983,35.22719955,4,grand-court-12840
12841,Dan Jerusalem,32 LEHI STREET,1,97856,+972 2 5331234,-5814977,31.79739952,35.23600006,5,dan-jerusalem-12841
12843,Inbal,3 JABOTINSKY ST.,1,,+972 2 6756666,-6755807,31.77059937,35.22200012,5,inbal-12843
12844,King Solomon,32 KING DAVID STREET,1,,+972 2 5695555,-6240804,31.77219963,35.22290039,4,king-solomon-12844
12845,King David,23 KING DAVID STREET,1,,+972 2 6208725,-6207910,31.77400017,35.22230148,5,king-david-12845
12846,Prima Kings,60 KING GEORGE STREET,1,,+972 2 6201201,-6543396,31.77529907,35.21720123,4,prima-kings-12846
12847,Yearim Hotel- Maale Hachamisha,"Kibbutz Maale Hachamisha, Maale Hachamisha",1,90835,+972 2 5331331,97225331330,31.81710052,35.11660004,4,yearim-hotel-maale-hachamisha-12847
12848,Jerusalem Gate,43 YIRMIYAHU STREET,1,,+972 2 5008500,-5001151,31.79030037,35.20080185,3,jerusalem-gate-12848
12849,Mount Zion,HEBRON ROAD 17,1,,+972 2 5689555,-6730455,31.76849937,35.2262001,4,mount-zion-12849
12851,Leonardo Jerusalem,"9 STREET GEORGE STREET , Jerusalem",1,,+972 2 5320000,-5319041,31.78949928,35.22840118,4,leonardo-jerusalem-12851
12853,PRIMA PARK,2 VILNAY STREET,1,,+972 2 6582222,-6581241,31.78520012,35.19820023,4,prima-park-12853
12855,Habait Belev Ha-Ir,BEIT HAKEREM 1,1,,+972 2 6523121,-6522150,31.77890015,35.18830109,3,habait-belev-ha-ir-12855
